54,0,"{'dominant_colors': {'purple_3': 0.84323125, 'shiny_pink': 0.064725}, 'line_colors': {}}",רחוב נחלת בנימין,"['אזור תעסוקה מטרופוליני', 'אזור תעסוקה סמוך להסעת המונים']"
56,0,"{'dominant_colors': {'purple_3': 0.84323125, 'shiny_pink': 0.064725}, 'line_colors': {}}",רחוב נחלת בנימין,"['אזור תעסוקה מטרופוליני', 'אזור תעסוקה סמוך להסעת המונים']"
58,0,"{'dominant_colors': {'purple_3': 0.53048125, 'shiny_pink': 0.13844375}, 'line_colors': {}}",רחוב נחלת בנימין,"['אזור תעסוקה מטרופוליני', 'אזור תעסוקה סמוך להסעת המונים']"
60,0,"{'dominant_colors': {'purple_3': 0.49106875, 'shiny_pink': 0.13350625}, 'line_colors': {}}",רחוב נחלת בנימין,"['אזור תעסוקה מטרופוליני', 'אזור תעסוקה סמוך להסעת המונים']"
62,0,"{'dominant_colors': {'purple_3': 0.83098125}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור תעסוקה מטרופוליני']
64,0,"{'dominant_colors': {'purple_3': 0.71884375, 'shiny_pink': 0.10526875}, 'line_colors': {}}",רחוב נחלת בנימין,"['אזור תעסוקה מטרופוליני', 'אזור תעסוקה סמוך להסעת המונים']"
66,0,"{'dominant_colors': {'purple_3': 0.30254375, 'shiny_pink': 0.179175}, 'line_colors': {}}",רחוב נחלת בנימין,"['אזור תעסוקה מטרופוליני', 'אזור תעסוקה סמוך להסעת המונים']"
68,0,"{'dominant_colors': {'purple_3': 0.38299375, 'shiny_pink': 0.03910625}, 'line_colors': {}}",רחוב נחלת בנימין,"['אזור תעסוקה מטרופוליני', 'אזור תעסוקה סמוך להסעת המונים']"
70,0,"{'dominant_colors': {'purple_3': 0.58808125, 'shiny_pink': 0.01515625}, 'line_colors': {}}",רחוב נחלת בנימין,"['אזור תעסוקה מטרופוליני', 'אזור תעסוקה סמוך להסעת המונים']"
72,0,"{'dominant_colors': {'pink': 0.7586625}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
74,0,"{'dominant_colors': {'pink': 0.7586625}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
76,0,"{'dominant_colors': {'pink': 0.7586625}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
78,0,"{'dominant_colors': {'pink': 0.95485}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
80,0,"{'dominant_colors': {'pink': 0.95235625}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
82,0,"{'dominant_colors': {'pink': 0.9450375}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
84,0,"{'dominant_colors': {'pink': 0.93281875}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
86,0,"{'dominant_colors': {'pink': 0.92716875}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
88,0,"{'dominant_colors': {'pink': 0.93276875}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
90,0,"{'dominant_colors': {'pink': 0.94096875}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
92,0,"{'dominant_colors': {'pink': 0.94345}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
94,0,"{'dominant_colors': {'pink': 0.9276625}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
96,0,"{'dominant_colors': {'pink': 0.9211125}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
98,0,"{'dominant_colors': {'pink': 0.9386375}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
100,0,"{'dominant_colors': {'pink': 0.918075}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
102,0,"{'dominant_colors': {'pink': 0.93273125}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
104,0,"{'dominant_colors': {'pink': 0.93255625}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
106,0,"{'dominant_colors': {'pink': 0.9325125}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
108,0,"{'dominant_colors': {'pink': 0.94056875}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
110,0,"{'dominant_colors': {'pink': 0.95435}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
112,0,"{'dominant_colors': {'pink': 0.9653875}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
114,0,"{'dominant_colors': {'pink': 0.9552875}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
116,0,"{'dominant_colors': {'pink': 0.94234375}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
118,0,"{'dominant_colors': {'pink': 0.92723125}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
120,0,"{'dominant_colors': {'pink': 0.9399}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
122,0,"{'dominant_colors': {'pink': 0.93091875}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
124,0,"{'dominant_colors': {'pink': 0.93709375}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
126,0,"{'dominant_colors': {'pink': 0.932625}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
128,0,"{'dominant_colors': {'pink': 0.815875}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
130,0,"{'dominant_colors': {'pink': 0.96328125}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
132,0,"{'dominant_colors': {'pink': 0.965525}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
134,0,"{'dominant_colors': {'pink': 0.9653875}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
136,0,"{'dominant_colors': {'pink': 0.96538125}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
138,0,"{'dominant_colors': {'pink': 0.9654875}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
140,0,"{'dominant_colors': {'pink': 0.96524375}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
142,0,"{'dominant_colors': {'pink': 0.965275}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
144,0,"{'dominant_colors': {'pink': 0.95503125}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
146,0,"{'dominant_colors': {'pink': 0.73043125}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
1,1,"{'dominant_colors': {'pink': 0.42985625}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
3,1,"{'dominant_colors': {'pink': 0.42985625}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
5,1,"{'dominant_colors': {'pink': 0.73761875}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
7,1,"{'dominant_colors': {'pink': 0.94000625}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
9,1,"{'dominant_colors': {'pink': 0.98448125}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
11,1,"{'dominant_colors': {'pink': 0.98755625}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
11א,1,"{'dominant_colors': {'pink': 0.977775}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
13,1,"{'dominant_colors': {'pink': 0.9961875}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
15,1,"{'dominant_colors': {'pink': 0.99675}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
17,1,"{'dominant_colors': {'pink': 0.9986875}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
19,1,"{'dominant_colors': {'pink': 0.9228375}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
21,1,"{'dominant_colors': {'pink': 0.99984375}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
23,1,"{'dominant_colors': {'pink': 0.9754375}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
23א,1,"{'dominant_colors': {'pink': 0.948}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
25,1,"{'dominant_colors': {'pink': 0.95940625}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
27,1,"{'dominant_colors': {'pink': 0.96520625}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
29,1,"{'dominant_colors': {'pink': 0.996225}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
31,1,"{'dominant_colors': {'pink': 0.95353125}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
33,1,"{'dominant_colors': {'pink': 0.94513125}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
35,1,"{'dominant_colors': {'pink': 0.99425}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
37,1,"{'dominant_colors': {'pink': 0.999825}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
39,1,"{'dominant_colors': {'pink': 0.9945625}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
41,1,"{'dominant_colors': {'pink': 0.99250625}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
43,1,"{'dominant_colors': {'pink': 0.97818125}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
45,1,"{'dominant_colors': {'pink': 0.63043125}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
47,1,"{'dominant_colors': {'pink': 0.45081875}, 'line_colors': {}}",רחוב נחלת בנימין,['אזור מעורב לתעסוקה ולמגורים']
